type,insight
revenue_trend,Total revenue for 7/2015 was $1146861.53
revenue_trend,Total revenue for 8/2015 was $1698555.34
revenue_trend,Total revenue for 9/2015 was $1666155.39
revenue_trend,Total revenue for 10/2015 was $1170206.08
revenue_trend,Total revenue for 11/2015 was $462989.38
revenue_trend,Total revenue for 12/2015 was $673348.84
revenue_trend,Total revenue for 1/2016 was $301626.03
revenue_trend,Total revenue for 2/2016 was $824783.06
revenue_trend,Total revenue for 3/2016 was $1075609.91
revenue_trend,Total revenue for 4/2016 was $1310562.84
revenue_trend,Total revenue for 5/2016 was $1881691.84
revenue_trend,Total revenue for 6/2016 was $1751923.92
revenue_trend,Total revenue for 7/2016 was $2069670.48
revenue_trend,Total revenue for 8/2016 was $3189394.65
revenue_trend,Total revenue for 9/2016 was $1930410.22
revenue_trend,Total revenue for 10/2016 was $2164044.61
revenue_trend,Total revenue for 11/2016 was $1165454.2
revenue_trend,Total revenue for 12/2016 was $788555.05
revenue_trend,Total revenue for 1/2017 was $1286256.97
revenue_trend,Total revenue for 2/2017 was $1030747.41
revenue_trend,Total revenue for 3/2017 was $1412293.44
revenue_trend,Total revenue for 4/2017 was $2123591.23
revenue_trend,Total revenue for 5/2017 was $2516277.02
revenue_trend,Total revenue for 6/2017 was $2600902.49
revenue_trend,Total revenue for 7/2017 was $3132959.07
revenue_trend,Total revenue for 8/2017 was $3348626.53
cancellation_rate,37.041628277075134
country_distribution,PRT accounted for 40.87% of the bookings (48590 bookings)
country_distribution,GBR accounted for 10.2% of the bookings (12129 bookings)
country_distribution,FRA accounted for 8.76% of the bookings (10415 bookings)
country_distribution,ESP accounted for 7.21% of the bookings (8568 bookings)
country_distribution,DEU accounted for 6.13% of the bookings (7287 bookings)
country_distribution,ITA accounted for 3.17% of the bookings (3766 bookings)
country_distribution,IRL accounted for 2.84% of the bookings (3375 bookings)
country_distribution,BEL accounted for 1.97% of the bookings (2342 bookings)
country_distribution,BRA accounted for 1.87% of the bookings (2224 bookings)
country_distribution,NLD accounted for 1.77% of the bookings (2104 bookings)
country_distribution,USA accounted for 1.76% of the bookings (2097 bookings)
country_distribution,CHE accounted for 1.45% of the bookings (1730 bookings)
country_distribution,CN accounted for 1.08% of the bookings (1279 bookings)
country_distribution,AUT accounted for 1.06% of the bookings (1263 bookings)
country_distribution,SWE accounted for 0.86% of the bookings (1024 bookings)
country_distribution,CHN accounted for 0.84% of the bookings (999 bookings)
country_distribution,POL accounted for 0.77% of the bookings (919 bookings)
country_distribution,ISR accounted for 0.56% of the bookings (669 bookings)
country_distribution,RUS accounted for 0.53% of the bookings (632 bookings)
country_distribution,NOR accounted for 0.51% of the bookings (607 bookings)
country_distribution,ROU accounted for 0.42% of the bookings (500 bookings)
country_distribution,FIN accounted for 0.38% of the bookings (447 bookings)
country_distribution,DNK accounted for 0.37% of the bookings (435 bookings)
country_distribution,AUS accounted for 0.36% of the bookings (426 bookings)
country_distribution,AGO accounted for 0.3% of the bookings (362 bookings)
country_distribution,LUX accounted for 0.24% of the bookings (287 bookings)
country_distribution,MAR accounted for 0.22% of the bookings (259 bookings)
country_distribution,TUR accounted for 0.21% of the bookings (248 bookings)
country_distribution,HUN accounted for 0.19% of the bookings (230 bookings)
country_distribution,ARG accounted for 0.18% of the bookings (214 bookings)
country_distribution,JPN accounted for 0.17% of the bookings (197 bookings)
country_distribution,CZE accounted for 0.14% of the bookings (171 bookings)
country_distribution,IND accounted for 0.13% of the bookings (152 bookings)
country_distribution,KOR accounted for 0.11% of the bookings (133 bookings)
country_distribution,GRC accounted for 0.11% of the bookings (128 bookings)
country_distribution,DZA accounted for 0.09% of the bookings (103 bookings)
country_distribution,SRB accounted for 0.08% of the bookings (101 bookings)
country_distribution,HRV accounted for 0.08% of the bookings (100 bookings)
country_distribution,MEX accounted for 0.07% of the bookings (85 bookings)
country_distribution,IRN accounted for 0.07% of the bookings (83 bookings)
country_distribution,EST accounted for 0.07% of the bookings (83 bookings)
country_distribution,LTU accounted for 0.07% of the bookings (81 bookings)
country_distribution,ZAF accounted for 0.07% of the bookings (80 bookings)
country_distribution,BGR accounted for 0.06% of the bookings (75 bookings)
country_distribution,NZL accounted for 0.06% of the bookings (74 bookings)
country_distribution,COL accounted for 0.06% of the bookings (71 bookings)
country_distribution,UKR accounted for 0.06% of the bookings (68 bookings)
country_distribution,MOZ accounted for 0.06% of the bookings (67 bookings)
country_distribution,CHL accounted for 0.05% of the bookings (65 bookings)
country_distribution,SVK accounted for 0.05% of the bookings (65 bookings)
country_distribution,THA accounted for 0.05% of the bookings (59 bookings)
country_distribution,SVN accounted for 0.05% of the bookings (57 bookings)
country_distribution,ISL accounted for 0.05% of the bookings (57 bookings)
country_distribution,LVA accounted for 0.05% of the bookings (55 bookings)
country_distribution,CYP accounted for 0.04% of the bookings (51 bookings)
country_distribution,TWN accounted for 0.04% of the bookings (51 bookings)
country_distribution,ARE accounted for 0.04% of the bookings (51 bookings)
country_distribution,SAU accounted for 0.04% of the bookings (48 bookings)
country_distribution,PHL accounted for 0.03% of the bookings (40 bookings)
country_distribution,SGP accounted for 0.03% of the bookings (39 bookings)
country_distribution,TUN accounted for 0.03% of the bookings (39 bookings)
country_distribution,IDN accounted for 0.03% of the bookings (35 bookings)
country_distribution,NGA accounted for 0.03% of the bookings (34 bookings)
country_distribution,URY accounted for 0.03% of the bookings (32 bookings)
country_distribution,EGY accounted for 0.03% of the bookings (32 bookings)
country_distribution,LBN accounted for 0.03% of the bookings (31 bookings)
country_distribution,HKG accounted for 0.02% of the bookings (29 bookings)
country_distribution,PER accounted for 0.02% of the bookings (29 bookings)
country_distribution,MYS accounted for 0.02% of the bookings (28 bookings)
country_distribution,ECU accounted for 0.02% of the bookings (27 bookings)
country_distribution,VEN accounted for 0.02% of the bookings (26 bookings)
country_distribution,BLR accounted for 0.02% of the bookings (26 bookings)
country_distribution,CPV accounted for 0.02% of the bookings (24 bookings)
country_distribution,GEO accounted for 0.02% of the bookings (22 bookings)
country_distribution,JOR accounted for 0.02% of the bookings (21 bookings)
country_distribution,CRI accounted for 0.02% of the bookings (19 bookings)
country_distribution,KAZ accounted for 0.02% of the bookings (19 bookings)
country_distribution,MLT accounted for 0.02% of the bookings (18 bookings)
country_distribution,OMN accounted for 0.02% of the bookings (18 bookings)
country_distribution,GIB accounted for 0.02% of the bookings (18 bookings)
country_distribution,AZE accounted for 0.01% of the bookings (17 bookings)
country_distribution,MAC accounted for 0.01% of the bookings (16 bookings)
country_distribution,KWT accounted for 0.01% of the bookings (16 bookings)
country_distribution,QAT accounted for 0.01% of the bookings (15 bookings)
country_distribution,DOM accounted for 0.01% of the bookings (14 bookings)
country_distribution,IRQ accounted for 0.01% of the bookings (14 bookings)
country_distribution,PAK accounted for 0.01% of the bookings (14 bookings)
country_distribution,BIH accounted for 0.01% of the bookings (13 bookings)
country_distribution,ALB accounted for 0.01% of the bookings (12 bookings)
country_distribution,MDV accounted for 0.01% of the bookings (12 bookings)
country_distribution,BGD accounted for 0.01% of the bookings (12 bookings)
country_distribution,PRI accounted for 0.01% of the bookings (12 bookings)
country_distribution,SEN accounted for 0.01% of the bookings (11 bookings)
country_distribution,BOL accounted for 0.01% of the bookings (10 bookings)
country_distribution,CMR accounted for 0.01% of the bookings (10 bookings)
country_distribution,MKD accounted for 0.01% of the bookings (10 bookings)
country_distribution,PAN accounted for 0.01% of the bookings (9 bookings)
country_distribution,TJK accounted for 0.01% of the bookings (9 bookings)
country_distribution,GNB accounted for 0.01% of the bookings (9 bookings)
country_distribution,ARM accounted for 0.01% of the bookings (8 bookings)
country_distribution,JEY accounted for 0.01% of the bookings (8 bookings)
country_distribution,VNM accounted for 0.01% of the bookings (8 bookings)
country_distribution,LBY accounted for 0.01% of the bookings (8 bookings)
country_distribution,CUB accounted for 0.01% of the bookings (8 bookings)
country_distribution,AND accounted for 0.01% of the bookings (7 bookings)
country_distribution,LKA accounted for 0.01% of the bookings (7 bookings)
country_distribution,MUS accounted for 0.01% of the bookings (7 bookings)
country_distribution,CIV accounted for 0.01% of the bookings (6 bookings)
country_distribution,JAM accounted for 0.01% of the bookings (6 bookings)
country_distribution,KEN accounted for 0.01% of the bookings (6 bookings)
country_distribution,SUR accounted for 0.0% of the bookings (5 bookings)
country_distribution,BHR accounted for 0.0% of the bookings (5 bookings)
country_distribution,TZA accounted for 0.0% of the bookings (5 bookings)
country_distribution,MNE accounted for 0.0% of the bookings (5 bookings)
country_distribution,FRO accounted for 0.0% of the bookings (5 bookings)
country_distribution,CAF accounted for 0.0% of the bookings (5 bookings)
country_distribution,GHA accounted for 0.0% of the bookings (4 bookings)
country_distribution,UZB accounted for 0.0% of the bookings (4 bookings)
country_distribution,ZWE accounted for 0.0% of the bookings (4 bookings)
country_distribution,PRY accounted for 0.0% of the bookings (4 bookings)
country_distribution,BRB accounted for 0.0% of the bookings (4 bookings)
country_distribution,GTM accounted for 0.0% of the bookings (4 bookings)
country_distribution,MCO accounted for 0.0% of the bookings (4 bookings)
country_distribution,GAB accounted for 0.0% of the bookings (4 bookings)
country_distribution,TMP accounted for 0.0% of the bookings (3 bookings)
country_distribution,BEN accounted for 0.0% of the bookings (3 bookings)
country_distribution,ETH accounted for 0.0% of the bookings (3 bookings)
country_distribution,GGY accounted for 0.0% of the bookings (3 bookings)
country_distribution,SYR accounted for 0.0% of the bookings (3 bookings)
country_distribution,LIE accounted for 0.0% of the bookings (3 bookings)
country_distribution,LAO accounted for 0.0% of the bookings (2 bookings)
country_distribution,SLV accounted for 0.0% of the bookings (2 bookings)
country_distribution,ATA accounted for 0.0% of the bookings (2 bookings)
